vrad(km/s)  CCF         CCF_spot
----------  --------    --------
-20.000000	1.000000	1.000000
-19.900000	1.000000	1.000000
-19.800000	1.000000	1.000000
-19.700000	1.000000	1.000000
-19.600000	1.000000	1.000000
-19.500000	1.000000	1.000000
-19.400000	0.999997	0.999999
-19.300000	0.999987	0.999996
-19.200000	0.999969	0.999990
-19.100000	0.999946	0.999982
-19.000000	0.999914	0.999971
-18.900000	0.999873	0.999954
-18.800000	0.999824	0.999934
-18.700000	0.999770	0.999913
-18.600000	0.999712	0.999894
-18.500000	0.999646	0.999874
-18.400000	0.999565	0.999844
-18.300000	0.999467	0.999801
-18.200000	0.999363	0.999759
-18.100000	0.999256	0.999721
-18.000000	0.999144	0.999684
-17.900000	0.999007	0.999624
-17.800000	0.998853	0.999550
-17.700000	0.998707	0.999488
-17.600000	0.998587	0.999455
-17.500000	0.998473	0.999437
-17.400000	0.998363	0.999425
-17.300000	0.998212	0.999373
-17.200000	0.998016	0.999278
-17.100000	0.997813	0.999178
-17.000000	0.997606	0.999079
-16.900000	0.997400	0.998984
-16.800000	0.997183	0.998877
-16.700000	0.996980	0.998777
-16.600000	0.996792	0.998691
-16.500000	0.996615	0.998619
-16.400000	0.996475	0.998591
-16.300000	0.996329	0.998550
-16.200000	0.996146	0.998477
-16.100000	0.995939	0.998377
-16.000000	0.995630	0.998174
-15.900000	0.995291	0.997945
-15.800000	0.994955	0.997706
-15.700000	0.994696	0.997545
-15.600000	0.994499	0.997446
-15.500000	0.994347	0.997400
-15.400000	0.994125	0.997263
-15.300000	0.993960	0.997172
-15.200000	0.993763	0.997052
-15.100000	0.993576	0.996935
-15.000000	0.993308	0.996744
-14.900000	0.992977	0.996474
-14.800000	0.992587	0.996138
-14.700000	0.992159	0.995757
-14.600000	0.991826	0.995473
-14.500000	0.991566	0.995287
-14.400000	0.991394	0.995149
-14.300000	0.991203	0.995010
-14.200000	0.991100	0.994956
-14.100000	0.990897	0.994792
-14.000000	0.990719	0.994642
-13.900000	0.990564	0.994498
-13.800000	0.990412	0.994368
-13.700000	0.990156	0.994110
-13.600000	0.989887	0.993862
-13.500000	0.989589	0.993560
-13.400000	0.989304	0.993252
-13.300000	0.989158	0.993087
-13.200000	0.989121	0.993002
-13.100000	0.989000	0.992821
-13.000000	0.988843	0.992596
-12.900000	0.988623	0.992283
-12.800000	0.988432	0.991956
-12.700000	0.988528	0.991898
-12.600000	0.988838	0.992039
-12.500000	0.988901	0.991955
-12.400000	0.988589	0.991492
-12.300000	0.988242	0.990974
-12.200000	0.988125	0.990662
-12.100000	0.988319	0.990636
-12.000000	0.988456	0.990575
-11.900000	0.988268	0.990188
-11.800000	0.987867	0.989540
-11.700000	0.987870	0.989252
-11.600000	0.988523	0.989614
-11.500000	0.989242	0.990037
-11.400000	0.989498	0.989985
-11.300000	0.989436	0.989584
-11.200000	0.989436	0.989206
-11.100000	0.989718	0.989124
-11.000000	0.990232	0.989301
-10.900000	0.990369	0.989075
-10.800000	0.990243	0.988546
-10.700000	0.990289	0.988136
-10.600000	0.990740	0.988155
-10.500000	0.991413	0.988406
-10.400000	0.992010	0.988595
-10.300000	0.992503	0.988628
-10.200000	0.992836	0.988478
-10.100000	0.993384	0.988576
-10.000000	0.993906	0.988669
-9.900000	0.994086	0.988459
-9.800000	0.993972	0.987947
-9.700000	0.994138	0.987730
-9.600000	0.994707	0.987950
-9.500000	0.995474	0.988384
-9.400000	0.996239	0.988813
-9.300000	0.996464	0.988703
-9.200000	0.996451	0.988388
-9.100000	0.996664	0.988325
-9.000000	0.997101	0.988521
-8.900000	0.997342	0.988479
-8.800000	0.997075	0.987910
-8.700000	0.996495	0.987071
-8.600000	0.995906	0.986290
-8.500000	0.995707	0.985938
-8.400000	0.995824	0.985856
-8.300000	0.995999	0.985801
-8.200000	0.995926	0.985465
-8.100000	0.995851	0.985129
-8.000000	0.995530	0.984602
-7.900000	0.994877	0.983697
-7.800000	0.994075	0.982585
-7.700000	0.993292	0.981428
-7.600000	0.992458	0.980206
-7.500000	0.991459	0.978852
-7.400000	0.990311	0.977351
-7.300000	0.988827	0.975515
-7.200000	0.987561	0.973806
-7.100000	0.986408	0.972136
-7.000000	0.985270	0.970473
-6.900000	0.983787	0.968479
-6.800000	0.982087	0.966286
-6.700000	0.980110	0.963787
-6.600000	0.977944	0.961060
-6.500000	0.975737	0.958353
-6.400000	0.973192	0.955347
-6.300000	0.970506	0.952252
-6.200000	0.967436	0.948777
-6.100000	0.964180	0.945100
-6.000000	0.960548	0.941043
-5.900000	0.956900	0.936948
-5.800000	0.953096	0.932717
-5.700000	0.949075	0.928239
-5.600000	0.944613	0.923383
-5.500000	0.939960	0.918382
-5.400000	0.935270	0.913403
-5.300000	0.930378	0.908314
-5.200000	0.925143	0.902904
-5.100000	0.918987	0.896730
-5.000000	0.912432	0.890229
-4.900000	0.905501	0.883414
-4.800000	0.898532	0.876574
-4.700000	0.890977	0.869226
-4.600000	0.882767	0.861407
-4.500000	0.874185	0.853332
-4.400000	0.865590	0.845380
-4.300000	0.856954	0.837479
-4.200000	0.848009	0.829376
-4.100000	0.838299	0.820685
-4.000000	0.828086	0.811687
-3.900000	0.817697	0.802648
-3.800000	0.807004	0.793368
-3.700000	0.795838	0.783703
-3.600000	0.783927	0.773422
-3.500000	0.771817	0.763068
-3.400000	0.759510	0.752666
-3.300000	0.747148	0.742308
-3.200000	0.734578	0.731849
-3.100000	0.721594	0.721075
-3.000000	0.708664	0.710446
-2.900000	0.695641	0.699846
-2.800000	0.682500	0.689229
