vrad	CCF	CCF_spot
-0.500000	0.446469	0.501687
-0.250000	0.438616	0.496513
0.000000	0.435707	0.494739
0.250000	0.437432	0.495334
0.500000	0.444889	0.499160
0.750000	0.457217	0.505174
1.000000	0.475122	0.513758
1.250000	0.497485	0.524482
1.500000	0.524460	0.537590
1.750000	0.554764	0.552741
2.000000	0.587471	0.569743
2.250000	0.621429	0.588429
2.500000	0.656325	0.608927
2.750000	0.691128	0.631198
3.000000	0.725062	0.654626
3.250000	0.756543	0.678302
3.500000	0.786355	0.702765
3.750000	0.813915	0.727589
4.000000	0.839717	0.752894
4.250000	0.862474	0.777316
4.500000	0.882909	0.801084
4.750000	0.900671	0.823434
5.000000	0.917230	0.845433
5.250000	0.931141	0.865157
5.500000	0.943653	0.883628
5.750000	0.954171	0.899982
6.000000	0.963226	0.914705
6.250000	0.971217	0.928049
6.500000	0.977364	0.939028
6.750000	0.983170	0.949225
7.000000	0.987221	0.957219
7.250000	0.991233	0.964808
7.500000	0.993735	0.970557
7.750000	0.996312	0.976093
8.000000	0.997683	0.980129
8.250000	0.998725	0.983607
8.500000	0.998991	0.985990
8.750000	0.999635	0.988489
9.000000	1.000000	0.990441
9.250000	0.999867	0.991655
9.500000	0.999294	0.992396
9.750000	0.998762	0.992937
10.000000	0.998452	0.993661
10.250000	0.997923	0.993880
10.500000	0.997178	0.993946
10.750000	0.995921	0.993388
11.000000	0.995409	0.993545
11.250000	0.993997	0.992689
11.500000	0.993193	0.992430
11.750000	0.992194	0.991977
12.000000	0.991088	0.991304
12.250000	0.990451	0.991092
12.500000	0.989050	0.989962
12.750000	0.988066	0.989351
13.000000	0.987163	0.988655
13.250000	0.985660	0.987252
13.500000	0.985752	0.987291
13.750000	0.984477	0.985960
14.000000	0.984328	0.985885
14.250000	0.983116	0.984719
14.500000	0.982785	0.984504
14.750000	0.982592	0.984392
15.000000	0.982432	0.984388
15.250000	0.982096	0.984114
15.500000	0.982429	0.984380
15.750000	0.981912	0.983753
16.000000	0.982172	0.983940
16.250000	0.981965	0.983655
16.500000	0.982556	0.984205
16.750000	0.983073	0.984498
17.000000	0.982735	0.983984
17.250000	0.982922	0.984020
17.500000	0.983134	0.984156
17.750000	0.984162	0.985245
18.000000	0.984650	0.985708
18.250000	0.984461	0.985697
18.500000	0.984747	0.986186
18.750000	0.984789	0.986567
19.000000	0.985831	0.987868
19.250000	0.985661	0.987863
19.500000	0.986589	0.988911
19.750000	0.986500	0.988940
20.000000	0.987448	0.989950
20.250000	0.987404	0.989905
20.500000	0.988108	0.990654
20.750000	0.987709	0.990361
21.000000	0.988176	0.990972
21.250000	0.987885	0.990827
21.500000	0.988166	0.991369
21.750000	0.988229	0.991849
22.000000	0.988037	0.992070
22.250000	0.987871	0.992150
22.500000	0.987929	0.992478
22.750000	0.988271	0.992967
23.000000	0.988469	0.993385
23.250000	0.988633	0.993596
23.500000	0.988737	0.993812
23.750000	0.989674	0.994761
24.000000	0.990190	0.995305
24.250000	0.990564	0.995592
24.500000	0.990816	0.995811
24.750000	0.991447	0.996429
25.000000	0.992173	0.997109
25.250000	0.992786	0.997491
25.500000	0.993020	0.997360
25.750000	0.993336	0.997157
26.000000	0.993303	0.996720
26.250000	0.994054	0.997035
26.500000	0.993915	0.996561
26.750000	0.994243	0.996444
27.000000	0.993623	0.995379
27.250000	0.993884	0.995203
27.500000	0.993911	0.994858
27.750000	0.993819	0.994506
28.000000	0.993517	0.994050
28.250000	0.992678	0.993255
28.500000	0.992379	0.993120
28.750000	0.991963	0.992983
29.000000	0.991663	0.993083
29.250000	0.991146	0.992926
29.500000	0.990458	0.992682
29.750000	0.990263	0.992762
30.000000	0.990157	0.993002
30.250000	0.989890	0.992940
30.500000	0.989449	0.992720
30.750000	0.989273	0.992666
31.000000	0.989764	0.993255
31.250000	0.989773	0.993289
31.500000	0.989985	0.993393
31.750000	0.989800	0.993085
32.000000	0.990390	0.993465
32.250000	0.990756	0.993729
32.500000	0.991294	0.994029
32.750000	0.991718	0.994288
33.000000	0.992338	0.994610
33.250000	0.992823	0.994869
33.500000	0.993015	0.994746
33.750000	0.993554	0.995128
34.000000	0.994000	0.995470
34.250000	0.994518	0.996080
34.500000	0.994699	0.996318
34.750000	0.994930	0.996695
35.000000	0.995268	0.997190
35.250000	0.995549	0.997626
35.500000	0.995725	0.997936
35.750000	0.995911	0.998172
36.000000	0.996209	0.998549
36.250000	0.996116	0.998581
36.500000	0.996275	0.998931
36.750000	0.996177	0.998984
37.000000	0.996608	0.999507
37.250000	0.996754	0.999667
37.500000	0.996748	0.999658
37.750000	0.996951	0.999820
38.000000	0.997051	0.999814
38.250000	0.997280	0.999894
38.500000	0.997551	1.000000
38.750000	0.997547	0.999837
39.000000	0.997715	0.999857
39.250000	0.997681	0.999715
39.500000	0.997912	0.999865
39.750000	0.997971	0.999840
40.000000	0.998058	0.999841
40.250000	0.997996	0.999654
40.500000	0.998218	0.999769
40.750000	0.998283	0.999722
41.000000	0.998516	0.999821
41.250000	0.998531	0.999694
41.500000	0.998464	0.999467
41.750000	0.998635	0.999514
42.000000	0.998715	0.999500
42.250000	0.998889	0.999598
42.500000	0.998769	0.999427
42.750000	0.998743	0.999369
43.000000	0.998860	0.999474
43.250000	0.998964	0.999565
43.500000	0.998966	0.999537
43.750000	0.998990	0.999520
44.000000	0.999000	0.999501
44.250000	0.999108	0.999586
44.500000	0.999155	0.999620
44.750000	0.999221	0.999660
45.000000	0.999312	0.999717
45.250000	0.999376	0.999746
45.500000	0.999451	0.999783
45.750000	0.999507	0.999802
46.000000	0.999603	0.999854
46.250000	0.999666	0.999872
46.500000	0.999727	0.999888
46.750000	0.999775	0.999898
47.000000	0.999833	0.999923
47.250000	0.999879	0.999943
47.500000	0.999918	0.999962
47.750000	0.999946	0.999972
48.000000	0.999971	0.999986
48.250000	0.999987	0.999994
48.500000	0.999997	0.999999
48.750000	1.000000	1.000000
49.000000	1.000000	1.000000
49.250000	1.000000	1.000000
49.500000	1.000000	1.000000
49.750000	1.000000	1.000000
50.000000	1.000000	1.000000
